NAMA,Kecamatan Asal,Alamat Lengkap,NIK,Tanggal Lahir,Umur,No.Asuransi Kesehatan,Bulan Masuk,Gejala Penyakit/Check Up,Pelayanan
TRENT ALEX,LIVERPOOL,Anfield Road no.66,120310190660,12/12/1996,25,1290912210066,7,Cedera Hamstring,Poli Umum
HARRY MAGUIRE,MANCHESTER,Old Traffod Road,12897218937,13/12/1987,34,Tidak ada,7,Kaki Memar,Poli Umum
KILLIAN TRAVOR,MANCHESTER,Old Traffod Road,1276269238968129,12/10/1978,43,12321313131212,7,Gusi Bengkak,Poli Gigi
CARL JOHNSON,NEW JERSEY,Groove Street No.19,12349092809218,12/3/2001,20,Tidak ada,6,Gigi Lepas,Poli Gigi
SEBASTIAN VETTEL,NEW JERSEY,Scudetto no.19,128167236398128691,12/10/1988,33,1231214323113341134,3,Check Up Reflex,Laboratorium
STEVEN BRADL,NEW JERSEY,Motegi Road no.19,19000299393900,12/3/1987,34,Tidak ada,3,Carpal Tunnel Test,Laboratorium
TOHRU UKAWA,LIVERPOOL,Glaglow Ancient No.18,1286398126921,13/10/1978,43,12897219723121,3,Reflex Test,Laboratorium
DIEGO JOTA,LIVERPOOL,Anfield Road No.20,2193981269218,12/12/2000,21,2186328916923729,12,Kulit Memerah,Poli Anak
GEORGE ALEXANDER,WASHINGTON,White House no.19,12893892368912,12/12/1976,45,Tidak ada,12,Tubuh Lemas,Poli Umum
KILLIAN ALEXANDER,WASHINGTON,Jarvis Road no.01,14031021004000,12/13/2004,17,Tidak ada,1,Gusi Bengkak,Poli Gigi
JOTA,LIVERPOOL,Anfield Road no.20,12345678910,12/3/2009,12,Tidak ada,2,Gusi Berdarah,Poli Anak
FERNANDO TORRES,LIVERPOOL,"Gudisson Park no.9, Liverpool",140310210009,12/8/1978,43,123410210009,1,Mual,Poli Umum
EDI CAHYADI,NEW JERSEY,"Jalan Avengers Camp no.10, New Jersey",1208189012,17/4/2016,5,Tidak ada,4,Tidak Bisa Mengunyah,Poli Anak
JULIAN KRISTOPER,NEW JERSEY,"Country Road no.08, New Jersey",12901290120,10/10/2009,12,Tidak ada,4,batuk,Poli Anak
